Bangladesh medical journal	Bangladesh Med J	Bangladesh. Med. J.
Disaster medicine and public health preparedness	Disaster Med Public Health Prep	Disaster. Med. Public. Health. Prep.
Problemas del desarrollo	Probl Desarro	Probl. Desarro.
Uchenye zapiski. Moscow (Russia). Moskovskii gorodskoi pedagogicheskii institut	Uchenye Zap (Mosc)	Uchenye. Zap. (Mosc).
Journal of molecular medicine (Berlin, Germany)	J Mol Med (Berl)	J. Mol. Med. (Berl).
AIDS/STD health promotion exchange	AIDS STD Health Promot Exch	AIDS. STD. Health. Promot. Exch.
Clinical oncology	Clin Oncol	Clin. Oncol.
Quantum bio-informatics V : proceedings of the quantum bio-informatics 2011, Tokyo University of Science, Japan, 7-12 March 2011. Quantum Bio-Informatics (Conference) (5th : 2011 : Tokyo, Japan)	Quantum Bioinform V (2011)	Quantum. Bioinform. V. (2011).
Newsletter (International Academy of Periodontology)	Newsl Int Acad Periodontol	Newsl. Int. Acad. Periodontol.
Current opinion in environmental sustainability	Curr Opin Environ Sustain	Curr. Opin. Environ. Sustain.
Journal of hypertension. Supplement : official journal of the International Society of Hypertension	J Hypertens Suppl	J. Hypertens. Suppl.
Acta oto-rino-laringologica ibero-americana	Acta Otorinolaryngol Iber Am	Acta. Otorinolaryngol. Iber. Am.
Research summaries	Res Summ (Nav Med Res Inst)	Res. Summ. (Nav. Med. Res. Inst).
Journal of community hospital internal medicine perspectives	J Community Hosp Intern Med Perspect	J. Community. Hosp. Intern. Med. Perspect.
Zhonghua wei chang wai ke za zhi = Chinese journal of gastrointestinal surgery	Zhonghua Wei Chang Wai Ke Za Zhi	Zhonghua. Wei. Chang. Wai. Ke. Za. Zhi.
Monde medical	Monde Med	Monde. Med.
Home healthcare nurse	Home Healthc Nurse	Home. Healthc. Nurse.
Journal of the American Water Resources Association	J Am Water Resour Assoc	J. Am. Water. Resour. Assoc.
Dermatologica	Dermatologica	Dermatologica.
Nursing news	Nurs News (Meriden)	Nurs. News. (Meriden).
SAR and QSAR in environmental research	SAR QSAR Environ Res	SAR. QSAR. Environ. Res.
Journal of clinical oncology : official journal of the American Society of Clinical Oncology	J Clin Oncol	J. Clin. Oncol.
Revista de la Asociacion Bioquimica Argentina. Asociacion Bioquimica Argentina	Rev Asoc Bioquim Argent	Rev. Asoc. Bioquim. Argent.
Drugs of the future	Drugs Future	Drugs. Future.
Ambito de encuentros	Ambito Encuentros	Ambito. Encuentros.
Zoologica; scientific contributions of the New York Zoological Society	Zool Sci Contrib N Y Zool Soc	Zool. Sci. Contrib. N. Y. Zool. Soc.
Progress pediatric study. American Academy of Pediatrics. Committee for the Study of Child Health Services	Prog Pediat Study	Prog. Pediat. Study.
International Journal Of Radiation Applications And Instrumentation. Part D, Nuclear Tracks And Radiation Measurements	Int J Rad Appl Instrum D	Int. J. Rad. Appl. Instrum. D.
Mathematics and computers in simulation	Math Comput Simul	Math. Comput. Simul.
Pediatric surgery international	Pediatr Surg Int	Pediatr. Surg. Int.
American journal of cancer research	Am J Cancer Res	Am. J. Cancer. Res.
Journal of educational evaluation for health professions	J Educ Eval Health Prof	J. Educ. Eval. Health. Prof.
Neurotoxins	Neurotoxins	Neurotoxins.
Fundamental and applied toxicology : official journal of the Society of Toxicology	Fundam Appl Toxicol	Fundam. Appl. Toxicol.
European medical Journal. Urology	Eur Med J Urol	Eur. Med. J. Urol.
Public health (Fairfax, Va.)	Public Health (Fairfax)	Public. Health. (Fairfax).
Journal of European studies	J Eur Stud	J. Eur. Stud.
The Journal of clinical pharmacology and the journal of new drugs	J Clin Pharmacol J New Drugs	J. Clin. Pharmacol. J. New. Drugs.
World journal of pharmacology	World J Pharmacol	World. J. Pharmacol.
Balisage series on markup technologies	Balisage Ser Markup Technol	Balisage. Ser. Markup. Technol.
Maclean's	Macleans	Macleans.
Flintknappers' exchange	Flintknappers Exch	Flintknappers. Exch.
Epilepsy research and treatment	Epilepsy Res Treat	Epilepsy. Res. Treat.
Computer assisted surgery (Abingdon, England)	Comput Assist Surg (Abingdon)	Comput. Assist. Surg. (Abingdon).
The Register of the Kentucky Historical Society	Regist Ky Hist Soc	Regist. Ky. Hist. Soc.
Tobacco use insights	Tob Use Insights	Tob. Use. Insights.
Journal of general practice (Los Angeles, Calif.)	J Gen Pract (Los Angel)	J. Gen. Pract. (Los. Angel).
Recent progress in psychiatry	Recent Progr Psychiatr	Recent. Progr. Psychiatr.
International Conference on Signal Processing & Communications (SPCOM) . Conference on Signal Processing, and Communications	Int Conf Signal Process Commun	Int. Conf. Signal. Process. Commun.
Journal of extension	J Ext	J. Ext.
Mikrochemie	Mikrochemie	Mikrochemie.
Journal of biomedical physics & engineering	J Biomed Phys Eng	J. Biomed. Phys. Eng.
Revista geografica del Instituto Panamericano de Geografia e Historia	Rev Geogr Inst Panam Geogr Hist	Rev. Geogr. Inst. Panam. Geogr. Hist.
Neurologia medico-chirurgica	Neurol Med Chir (Tokyo)	Neurol. Med. Chir. (Tokyo).
Erziehung und Unterricht; osterreichische padagogische Zeitschrift	Erzieh Unterr	Erzieh. Unterr.
Family matters (Melbourne, Vic.)	Fam Matters	Fam. Matters.
Chemica scripta	Chem Scr	Chem. Scr.
Complicated Cardiac Patient	Complicat Card Patient	Complicat. Card. Patient.
In vivo	In Vivo (Brooklyn)	In. Vivo. (Brooklyn).
Zhonghua bing li xue za zhi = Chinese journal of pathology	Zhonghua Bing Li Xue Za Zhi	Zhonghua. Bing. Li. Xue. Za. Zhi.
Journal of visual languages and computing	J Vis Lang Comput	J. Vis. Lang. Comput.
Albrecht von Graefe's Archiv fur Ophthalmologie	Albrecht Von Graefes Arch Ophthalmol	Albrecht. Von. Graefes. Arch. Ophthalmol.
Archives de medecine generale et tropicale	Arch Med Gen Trop	Arch. Med. Gen. Trop.
Zeitschrift fur Naturforschung. Teil C: Biochemie, Biophysik, Biologie, Virologie	Z Naturforsch C	Z. Naturforsch. C.
Journal of public health and epidemiology	J Public Health Epidemiol	J. Public. Health. Epidemiol.
Odontoiatria; revista ibero-americana de medicina de la boca	Odontoiatr Rev Iberoam Med Boca	Odontoiatr. Rev. Iberoam. Med. Boca.
Zhurnal mikrobiologii, epidemiologii, i immunobiologii	Zh Mikrobiol Epidemiol Immunobiol	Zh. Mikrobiol. Epidemiol. Immunobiol.
Code of Federal regulations. 45: Public welfare	Code Fed Regul Public Welfare	Code. Fed. Regul. Public. Welfare.
Latomus	Latomus	Latomus.
Nature human behaviour	Nat Hum Behav	Nat. Hum. Behav.
Journal of theoretical and applied computer science	J Theor Appl Comput Sci	J. Theor. Appl. Comput. Sci.
Current opinion in HIV and AIDS	Curr Opin HIV AIDS	Curr. Opin. HIV. AIDS.
Bulletin. Chicago Medical Society	Bull Chic Med Soc	Bull. Chic. Med. Soc.
Vestnik Leningradskogo universiteta. Seriia biologii	Vestn Leningr Univ Ser Biol	Vestn. Leningr. Univ. Ser. Biol.
Ocean & coastal management	Ocean Coast Manag	Ocean. Coast. Manag.
Journal of the Louisiana Dental Association	J La Dent Assoc	J. La. Dent. Assoc.
Social Work	Social Work (Stellenbosch)	Social. Work. (Stellenbosch).
Medicinal chemistry research : an international journal for rapid communications on design and mechanisms of action of biologically active agents	Med Chem Res	Med. Chem. Res.
Acta Societatis Medicorum Upsaliensis. Supplementum	Acta Soc Med Ups Suppl	Acta. Soc. Med. Ups. Suppl.
Psychiatrike = Psychiatriki	Psychiatriki	Psychiatriki.
Nachrichtenblatt. Deutsche Gesellschaft fur Geschichte der Medizin, der Naturwissenschaften und der Technik	Nachrichtenbl Dtsch Ges Gesch Med Naturwiss Tech	Nachrichtenbl. Dtsch. Ges. Gesch. Med. Naturwiss. Tech.
The Journal of the American College of Dentists	J Am Coll Dent	J. Am. Coll. Dent.
Voprosy istorii KPSS (Moscow, Russia)	Vopr Istor KPSS	Vopr. Istor. KPSS.
Epidemiology (Sunnyvale, Calif.)	Epidemiology (Sunnyvale)	Epidemiology. (Sunnyvale).
International journal of stem cells	Int J Stem Cells	Int. J. Stem. Cells.
Slavery & abolition	Slavery Abol	Slavery. Abol.
Journal of police and criminal psychology	J Police Crim Psychol	J. Police. Crim. Psychol.
Chinese clinical oncology	Chin Clin Oncol	Chin. Clin. Oncol.
Annals of pediatric endocrinology & metabolism	Ann Pediatr Endocrinol Metab	Ann. Pediatr. Endocrinol. Metab.
Hippocampus	Hippocampus	Hippocampus.
Shi da xue bao	Shi Da Xue Bao	Shi. Da. Xue. Bao.
Journal of behavioral assessment	J Behav Assess	J. Behav. Assess.
SAHARA J : journal of Social Aspects of HIV/AIDS Research Alliance	SAHARA J	SAHARA. J.
Oncogenesis	Oncogenesis	Oncogenesis.
Proceedings of the staff meetings. Pethah-Tiqva, Israel. Beilinson Hospital	Proc Staff Meet Pethah Tiqva Isr Beilinson Hosp	Proc. Staff. Meet. Pethah. Tiqva. Isr. Beilinson. Hosp.
Acta anaesthesiologica Scandinavica	Acta Anaesthesiol Scand	Acta. Anaesthesiol. Scand.
Kiso shinrigaku kenkyu	Jpn J Psychon Sci	Jpn. J. Psychon. Sci.
The gifted child quarterly	Gift Child Q	Gift. Child. Q.
Athens journal of sciences	Athens J Sci	Athens. J. Sci.
Biopharmaceutics & drug disposition	Biopharm Drug Dispos	Biopharm. Drug. Dispos.
Sangre	Sangre (Barc)	Sangre. (Barc).
Fuel cells (Weinheim)	Fuel Cells (Weinh)	Fuel. Cells. (Weinh).
Nutrition (Burbank, Los Angeles County, Calif.)	Nutrition	Nutrition.
Acta vitaminologica et enzymologica	Acta Vitaminol Enzymol	Acta. Vitaminol. Enzymol.
CEX [reports]; civil effects exercise. U.S. Atomic Energy Commission	CEX Rep Civ Eff Exerc	CEX. Rep. Civ. Eff. Exerc.
Capital nursing	Cap Nurs	Cap. Nurs.
TEC bulletin	TEC Bull (Online)	TEC. Bull. (Online).
Current problems in pediatrics	Curr Probl Pediatr	Curr. Probl. Pediatr.
Japanese journal of infectious diseases	Jpn J Infect Dis	Jpn. J. Infect. Dis.
Fundamenta informaticae	Fundam Inform	Fundam. Inform.
Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit	East Mediterr Health J	East. Mediterr. Health. J.
OR tech	OR Tech	OR. Tech.
Bibliothek und Wissenschaft	Bibl Wiss	Bibl. Wiss.
Journal of vacuum science and technology. B, Nanotechnology & microelectronics : materials, processing, measurement, & phenomena : JVST B	J Vac Sci Technol B Nanotechnol Microelectron	J. Vac. Sci. Technol. B. Nanotechnol. Microelectron.
Australian journal of midwifery : professional journal of the Australian College of Midwives Incorporated	Aust J Midwifery	Aust. J. Midwifery.
Journal of oral hygiene & health	J Oral Hyg Health	J. Oral. Hyg. Health.
Journal of autism and childhood schizophrenia	J Autism Child Schizophr	J. Autism. Child. Schizophr.
Clays and clay minerals	Clays Clay Miner	Clays. Clay. Miner.
Operative neurosurgery (Hagerstown, Md.)	Oper Neurosurg (Hagerstown)	Oper. Neurosurg. (Hagerstown).
Revista centroamericana de economia	Rev Centroam Econ	Rev. Centroam. Econ.
International journal of critical illness and injury science	Int J Crit Illn Inj Sci	Int. J. Crit. Illn. Inj. Sci.
Pathogenesis : the journal of mechanisms in disease processes	Pathogenesis (Amst)	Pathogenesis. (Amst).
Biointerphases	Biointerphases	Biointerphases.
Cognitive and behavioral practice	Cogn Behav Pract	Cogn. Behav. Pract.
Current signal transduction therapy	Curr Signal Transduct Ther	Curr. Signal. Transduct. Ther.
Zeitschrift fur Biologie	Z Biol	Z. Biol.
AACN clinical issues in critical care nursing	AACN Clin Issues Crit Care Nurs	AACN. Clin. Issues. Crit. Care. Nurs.
Mycology	Mycology	Mycology.
Journal of multidisciplinary healthcare	J Multidiscip Healthc	J. Multidiscip. Healthc.
Soins. Gynecologie, obstetrique, puericulture	Soins Gynecol Obstet Pueric	Soins. Gynecol. Obstet. Pueric.
Medical archives (Sarajevo, Bosnia and Herzegovina)	Med Arch	Med. Arch.
Integrated blood pressure control	Integr Blood Press Control	Integr. Blood. Press. Control.
Advances in ophthalmology and optometry	Adv Ophthalmol Optom	Adv. Ophthalmol. Optom.
Analytical methods : advancing methods and applications	Anal Methods	Anal. Methods.
Interferon	Interferon	Interferon.
Journal of telemedicine and telecare	J Telemed Telecare	J. Telemed. Telecare.
IEEE International Conference on Systems Biology : [proceedings]. IEEE International Conference on Systems Biology	IEEE Int Conf Systems Biol	IEEE. Int. Conf. Systems. Biol.
Nihon yakurigaku zasshi. Folia pharmacologica Japonica	Nihon Yakurigaku Zasshi	Nihon. Yakurigaku. Zasshi.
International journal of student scholarship in physical therapy	Int J Stud Scholarsh Phys Ther	Int. J. Stud. Scholarsh. Phys. Ther.
The University of Chicago law review. University of Chicago. Law School	Univ Chic Law Rev	Univ. Chic. Law. Rev.
NPJ aging and mechanisms of disease	NPJ Aging Mech Dis	NPJ. Aging. Mech. Dis.
Inverse problems and imaging (Springfield, Mo.)	Inverse Probl Imaging (Springfield)	Inverse. Probl. Imaging. (Springfield).
Archives internationales de neurologie, des maladies hereditaires, de medecine mentale et psychosomatique	Arch Int Neurol	Arch. Int. Neurol.
Medisch maandblad	Med Maandbl	Med. Maandbl.
Die Erde; Zeitschrift der Gesellschaft fur Erdkunde zu Berlin	Erde	Erde.
Catedra y clinica	Catedra Clin	Catedra. Clin.
Clinics in rheumatic diseases	Clin Rheum Dis	Clin. Rheum. Dis.
Thrombosis research. Supplement	Thromb Res Suppl	Thromb. Res. Suppl.
Evidence report/technology assessment	Evid Rep Technol Assess (Full Rep)	Evid. Rep. Technol. Assess. (Full. Rep).
Lung cancer international	Lung Cancer Int	Lung. Cancer. Int.
Revue des travaux de l'Academie des sciences morales et politiques et comptes rendus de ses seances	Rev Trav Acad Sci Morales Polit C R Seances	Rev. Trav. Acad. Sci. Morales. Polit. C. R. Seances.
Drug discovery today. Biosilico	Drug Discov Today Biosilico	Drug. Discov. Today. Biosilico.
Precision engineering	Precis Eng	Precis. Eng.
The Medical journal of Malaya	Med J Malaya	Med. J. Malaya.
Engineering and science	Eng Sci	Eng. Sci.
Current neurology and neuroscience reports	Curr Neurol Neurosci Rep	Curr. Neurol. Neurosci. Rep.
Chinese sociological review	Chin Sociol Rev	Chin. Sociol. Rev.
Journal of computational and theoretical nanoscience	J Comput Theor Nanosci	J. Comput. Theor. Nanosci.
The European journal of prosthodontics and restorative dentistry	Eur J Prosthodont Restor Dent	Eur. J. Prosthodont. Restor. Dent.
Journal of plant nutrition	J Plant Nutr	J. Plant. Nutr.
Laboratory phonology	Lab Phonol	Lab. Phonol.
Judicature	Judicature	Judicature.
Journal de medecine legale droit medical	J Med Leg Droit Med	J. Med. Leg. Droit. Med.
Journal of the American Statistical Association	J Am Stat Assoc	J. Am. Stat. Assoc.
Multidimensional systems and signal processing	Multidimens Syst Signal Process	Multidimens. Syst. Signal. Process.
Canadian journal of surgery. Journal canadien de chirurgie	Can J Surg	Can. J. Surg.
Crime and social justice	Crime Soc Justice	Crime. Soc. Justice.
CSH protocols	CSH Protoc	CSH. Protoc.
Proceedings. IEEE Radio and Wireless Symposium	Proc IEEE Radio Wirel Symp	Proc. IEEE. Radio. Wirel. Symp.
Medical history	Med Hist	Med. Hist.
Journal of flow chemistry	J Flow Chem	J. Flow. Chem.
The New Zealand journal of history	N Z J Hist	N. Z. J. Hist.
The Canadian veterinary journal = La revue veterinaire canadienne	Can Vet J	Can. Vet. J.
Journal of HIV AIDS surveillance & epidemiology	J HIV AIDS Surveill Epidemiol	J. HIV. AIDS. Surveill. Epidemiol.
Medinfo. MEDINFO	Medinfo	Medinfo.
Warasan wichai witthayasat kanphaet = Thai journal of health research	Warasan Wichai Witthayasat Kanphaet	Warasan. Wichai. Witthayasat. Kanphaet.
The Victorian newsletter	Vic Newsl	Vic. Newsl.
Journal of alloys and compounds	J Alloys Compd	J. Alloys. Compd.
Journal of pharmaceutical health services research: an official journal of the Royal Pharmaceutical Society of Great Britain	J Pharm Health Serv Res	J. Pharm. Health. Serv. Res.
Rutgers law journal	Rutgers Law J	Rutgers. Law. J.
American journal of physical medicine & rehabilitation	Am J Phys Med Rehabil	Am. J. Phys. Med. Rehabil.
Journal of chemical sciences (Bangalore, India)	J Chem Sci (Bangalore)	J. Chem. Sci. (Bangalore).
Orphanet journal of rare diseases	Orphanet J Rare Dis	Orphanet. J. Rare. Dis.
Curity research notes	Curity Res Notes	Curity. Res. Notes.
The International journal of applied radiation and isotopes	Int J Appl Radiat Isot	Int. J. Appl. Radiat. Isot.
Journal of young investigators	J Young Investig	J. Young. Investig.
Archives de psychologie	Arch Psychol (Geneve)	Arch. Psychol. (Geneve).
Forensic science international	Forensic Sci Int	Forensic. Sci. Int.
Samoa medical journal	Samoa Med J	Samoa. Med. J.
Fish pathology	Fish Pathol	Fish. Pathol.
Medicine and health, Rhode Island	Med Health R I	Med. Health. R. I.
Religious humanism	Relig Humanism	Relig. Humanism.
Medicine and law	Med Law	Med. Law.
Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion	Indian J Hematol Blood Transfus	Indian. J. Hematol. Blood. Transfus.
Environmental innovation and societal transitions	Environ Innov Soc Transit	Environ. Innov. Soc. Transit.
Wei sheng wu xue bao = Acta microbiologica Sinica	Wei Sheng Wu Xue Bao	Wei. Sheng. Wu. Xue. Bao.
The American journal of sociology	Am J Sociol	Am. J. Sociol.
Journal of meningitis	J Meningitis	J. Meningitis.
The Review of income and wealth	Rev Income Wealth	Rev. Income. Wealth.
Journal of the Arnold Arboretum. Arnold Arboretum	J Arnold Arbor	J. Arnold. Arbor.
Irish geography : bulletin of the Geographical Society of Ireland	Ir Geogr	Ir. Geogr.
Farmacoterapia	Farmacoterapia	Farmacoterapia.
Medical libraries	Med Lib	Med. Lib.
The Archivist	Archivist	Archivist.
Social influence	Soc Influ	Soc. Influ.
Sleep health	Sleep Health	Sleep. Health.
North western reporter. Second series	North West Rep Second Ser	North. West. Rep. Second. Ser.
Theological studies	Theol Stud	Theol. Stud.
International journal of neuropsychiatry	Int J Neuropsychiatry	Int. J. Neuropsychiatry.
Journal of plastic surgery and hand surgery	J Plast Surg Hand Surg	J. Plast. Surg. Hand. Surg.
